Run	MT-min	MT-Q1	MT-Median	MT-Mean	MT-Q3	MT-max	RB-min	RB-Q1	RB-Median	RB-Mean	RB-Q3	RB-max	n_genes	n_cells
SRR15990901	1.03448275862069	3.24189526184539	3.8318337506167	3.77970761903003	4.3927648238287	5	4.92814963515514	15.7054340771634	23.8150830897204	21.6527287034734	27.665151114011	30	11723	34972
SRR15990902	0.970245639019219	3.20618639760182	3.80228288684298	3.75411133516132	4.36230468817652	5	4.78129490076859	15.6607725225239	23.6603080953159	21.6045595636703	27.6466420266611	30	11692	34587
SRR15990903	0.78740157480315	3.13192935385338	3.73831755902991	3.68990673509453	4.32029776010598	4.99999999475754	4.05561713641269	9.23838829127544	12.5000043700197	13.7167505820237	16.9645693611382	29.9839922156943	11691	18001
SRR15990904	0.970873776981808	3.19303361342769	3.80434803698016	3.74242707082028	4.37240840451302	5	4.02829134358438	9.68151649722802	13.8535989864987	15.4137650309104	20.4850369614393	29.9999897058809	11760	21165
SRR15990905	0.568181729403423	3.29160538041351	3.89972090533135	3.82197669072625	4.43038044784501	5	3.74795675607202	11.1269423600986	18.268039607751	18.5047553926333	26.1194126336588	30	11866	29268
SRR15990906	0.308166434077794	3.17460367630393	3.7837837311908	3.72570997365771	4.35241323625998	5	4.01733986824288	9.5081269915002	13.2717740253118	14.8463168345774	19.1154196719887	29.9999888888871	11734	20062
SRR15990907	0.907029480514806	3.09901198348185	3.72324932494913	3.67111981569401	4.30385938083206	5	3.86225057586588	9.38668480899377	12.8144173264934	13.9974550480002	17.3535544827268	29.989686755535	11704	18390
SRR15990908	0.6993006993007	3.1526220516708	3.76884422110553	3.71397694659257	4.34782641519164	5	4.01979148937359	9.77340105706553	13.869863045365	15.4559908062459	20.4572813668887	29.9935755613197	11767	21049
SRR15990909	0.531914728101002	3.25623530925609	3.86904731389956	3.79879383764053	4.41640447859975	5	3.95940071702706	11.1356585869149	17.9814007726729	18.5023089742316	26.1845455563079	30	11861	28978
SRR15990910	0.764136605292675	3.16315187773852	3.76175552127043	3.71107490361345	4.34436692956095	5	3.93191590223306	9.57549447096092	13.4840997429549	14.9889357970488	19.4784927293765	30	11750	20345
SRR15990911	0.714285757653064	3.21808089902722	3.81231649194625	3.7596189681428	4.37500004101563	5	3.62693852699504	9.25803091017734	15.1813108750048	15.9608959667159	22.2857273477707	29.9999897058808	11713	24427
SRR15990912	0.320512701347842	3.15386931078438	3.72748104550491	3.69817891037901	4.31089616448286	4.99999999333334	3.56086589531973	8.58366901068743	12.4437525968032	14.2376165959555	19.5122010274492	29.990286973243	11671	19800
SRR15990913	0.694444403452935	3.26797385620915	3.8732391638564	3.80230274036225	4.42176870748299	5	3.82264280272817	10.0380958949006	18.1042235732812	17.0936205510752	23.2426295283987	30	11749	28911
SRR15990914	0	3.22580663942541	3.8216559955103	3.76575074226055	4.3795613085408	5	2.8571445918367	9.23191156063749	15.0690454148602	15.9116213597991	22.1666536944423	29.9999902777764	11737	24345
SRR15990915	0.668896321070234	3.16901409287592	3.76568974501509	3.71738218076434	4.33564058500838	5	3.21592575203619	9.01904785054163	13.9707951515036	15.3650739305982	21.5366358470289	29.9999897187482	11700	22302
SRR15990916	1.05633785335254	3.09771753279089	3.68663594470046	3.65962521179337	4.27441773784735	5	3.31848485454465	8.45397725583369	11.8661257726828	13.6242698571238	18.0037371730525	29.9783337596682	11678	18440
SRR15990917	0.651465698309812	3.2258064516129	3.82882880295836	3.76816664974291	4.38871538015556	5	3.81647339667818	9.80846431881372	17.1322152273649	16.8282730835549	23.1741573033708	29.9999902777764	11736	26969
SRR15990918	0.641025647189349	3.17032755094874	3.76561389298889	3.71780063669257	4.33436595040698	5	3.7506822710348	8.99602483523209	13.8839121415367	15.3177192788813	21.4434174210573	29.9797103456962	11717	22277
SRR15990874	1.1152416506129	3.44827616283139	4.0133779264214	3.93391280930751	4.5016077170418	5	3.32326137950546	11.9588609546277	17.3428175899032	18.5579269567111	26.2217546599807	29.9999923913035	11645	25301
SRR15990895	0.902934822597912	3.28638497652582	3.87666857332887	3.81649766360764	4.41860610005456	5	4.73461051625886	15.6240841685264	23.887774149367	21.6250347385992	27.609168902725	30	11716	35493
SRR15990896	1.05263157894737	3.30029355947744	3.8922162680628	3.82739389630365	4.42176882529657	5	4.84705063322761	15.6508266172396	23.9237675879508	21.6383768499492	27.6008722142136	29.9999916666657	11742	35468
