p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	0.315581106964745	0.501	0.139	0	11	LOC724843
0	0.31558021562618	0.531	0.152	0	11	LOC551875
0	0.315565712487453	0.344	0.055	0	11	LOC412363
0	0.315559178287695	0.328	0.048	0	11	LOC410004
0	0.315254920491921	0.63	0.278	0	11	LOC410373
0	0.315191547178658	0.373	0.07	0	11	MARCH6
0	0.315144080622445	0.536	0.155	0	11	LOC726977
0	0.315107135900603	0.575	0.184	0	11	LOC551731
0	0.315048505932324	0.711	0.275	0	11	LOC724634
0	0.314617042697063	0.414	0.093	0	11	LOC725317
0	0.314463049336524	0.382	0.075	0	11	LOC551314
0	0.314326434026589	0.41	0.093	0	11	LOC409588
0	0.314121784087581	0.43	0.1	0	11	LOC102654398
0	0.314117084299796	0.467	0.119	0	11	LOC551823
0	0.314074367698704	0.555	0.172	0	11	LOC408852
0	0.314061297710768	0.562	0.172	0	11	LOC100577764
0	0.313961636659581	0.52	0.153	0	11	LOC551947
0	0.313920983073331	0.476	0.123	0	11	LOC408590
0	0.313856421551575	0.462	0.119	0	11	LOC413633
0	0.3137651020017	0.466	0.121	0	11	LOC725378
0	0.313666644868329	0.385	0.075	0	11	LOC414038
0	0.313648348435266	0.526	0.155	0	11	LOC724545
0	0.31359364832635	0.524	0.152	0	11	MT-LOC408511
0	0.313540114478719	0.444	0.107	0	11	LOC551682
0	0.313037571919878	0.336	0.055	0	11	LOC102654952
0	0.313013696883605	0.476	0.125	0	11	LOC412282
0	0.312803784985354	0.391	0.081	0	11	LOC409527
0	0.312795998054667	0.455	0.114	0	11	LOC412094
0	0.312334680472315	0.457	0.117	0	11	LOC551658
0	0.312225904278018	0.932	0.488	0	11	LOC552402
0	0.312224922228953	0.668	0.252	0	11	LOC409327
0	0.312072217028856	0.348	0.059	0	11	LOC551447
0	0.312037050518002	0.791	0.331	0	11	LOC100577995
0	0.311884432832481	0.565	0.18	0	11	LOC727185
0	0.311858990809147	0.389	0.079	0	11	MT-LOC410678
0	0.311764059189704	0.521	0.152	0	11	LOC725395
0	0.311681076455591	0.407	0.092	0	11	LOC551215
0	0.31127117939587	0.435	0.107	0	11	LOC100578146
0	0.311219873114695	0.457	0.115	0	11	LOC551574
